store_ID,day_of_week,nb_customers_on_day,open,promotion,state_holiday,school_holiday,year,month,day_of_month,is_weekend,sales
415,7,0,0,0,0,0,2015,3,1,1,1045.2896056025684
27,7,0,0,0,0,0,2013,12,29,1,-68.33717967575194
404,3,657,1,1,0,0,2014,3,19,0,6080.665797752855
683,2,862,1,0,0,0,2013,1,29,0,8042.331256186575
920,3,591,1,1,0,0,2014,3,19,0,6238.781622316803
758,4,569,1,0,0,0,2014,6,26,0,3791.970871392376
563,1,321,1,1,0,0,2015,2,16,0,3309.888424990061
930,6,1367,1,0,0,0,2014,11,22,1,9233.511565579625
756,4,0,0,1,a,0,2015,6,4,0,-1771.5047171265423
49,2,546,1,1,0,0,2015,1,13,0,7596.619709556912
787,4,968,1,0,0,1,2015,7,23,0,8419.629752904948
782,4,472,1,0,0,0,2013,9,19,0,4234.130956487663
897,7,0,0,0,0,0,2014,4,20,1,-10.37343455856444
933,1,965,1,0,0,0,2013,12,9,0,7847.214940805006
218,2,804,1,0,0,1,2015,4,7,0,5923.679658548737
554,3,499,1,1,0,1,2013,10,9,0,4769.387115708258
362,1,1337,1,1,0,1,2013,8,12,0,11969.190455685859
655,3,560,1,0,0,0,2014,4,9,0,6003.248514889523
785,3,461,1,0,0,1,2014,12,31,0,5092.814379757701
690,3,866,1,1,0,0,2014,3,19,0,6884.704050998911
1103,7,0,0,0,0,0,2015,2,15,1,1055.9222960322559
431,1,1367,1,1,0,0,2014,6,2,0,13225.308913721296
127,2,642,1,1,0,0,2013,9,24,0,5827.073257988541
579,5,0,0,1,b,1,2013,3,29,0,165.7617665379703
248,6,1139,1,0,0,0,2013,8,3,1,8547.658131330983
962,6,0,0,0,0,0,2014,1,11,1,-1580.356123462373
224,2,515,1,1,0,1,2013,3,26,0,7078.187910967158
208,3,355,1,1,0,1,2013,6,19,0,3027.125831010152
401,1,1063,1,1,0,0,2015,3,30,0,11376.742077749088
503,7,0,0,0,0,0,2013,9,29,1,1741.9225249140918
221,4,562,1,1,0,0,2015,3,5,0,6267.796687632189
268,7,0,0,0,0,0,2014,11,2,1,-610.4220948368848
799,2,927,1,1,0,1,2013,8,27,0,10532.999320651983
260,6,894,1,0,0,0,2014,10,25,1,6654.299827434373
1041,2,594,1,0,0,0,2015,3,10,0,5147.305051729929
350,2,533,1,1,0,0,2013,6,18,0,7227.587776263575
286,7,0,0,0,0,0,2015,4,5,1,650.0947050898731
620,2,709,1,1,0,0,2013,6,4,0,8001.285013878395
521,1,484,1,1,0,0,2013,6,17,0,6391.747026770414
649,4,435,1,1,0,0,2014,11,27,0,4751.668677627452
1059,2,1239,1,1,0,0,2015,6,2,0,10088.69977808173
486,6,373,1,0,0,0,2014,6,28,1,2915.8327621626768
252,4,642,1,0,0,0,2013,10,17,0,7850.641147798149
656,3,421,1,1,0,0,2013,5,15,0,4036.023382026254
642,5,394,1,0,0,0,2014,9,12,0,2481.8904661489782
655,5,761,1,1,0,0,2015,5,8,0,8977.29738513385
992,3,627,1,0,0,0,2013,6,26,0,4507.27778370347
143,2,731,1,1,0,0,2015,6,2,0,8148.530386891477
421,5,941,1,1,0,1,2014,7,18,0,9506.337115002823
246,4,1157,1,1,0,0,2014,10,2,0,9505.287920649125
960,1,720,1,1,0,0,2014,4,28,0,8826.269895618881
313,5,697,1,0,0,0,2014,1,17,0,6124.625398121262
291,6,534,1,0,0,0,2013,6,29,1,5146.2036231235
